origin,destination,distance,duration,elevation_change
BT-01,BT-03,0.262218562,1.81666666667,3.53594970703
BT-01,BT-04,0.663002857,6.58333333333,3.07772445679
BT-01,BT-05,0.538728657,4.35,-6.93147659302
BT-01,CBD-13,0.833879882,6.61666666667,-5.10860061646
BT-01,CBD-03,1.283752486,10.7,-11.1418113708
BT-01,CBD-07,1.610593632,14.35,5.81894302368
BT-01,SLU-16,1.431017413,12.4333333333,-11.4009857178
BT-01,CBD-06,1.177498045,8.46666666667,12.0465049744
BT-01,CH-01,1.998329136,18.2666666667,-44.9111289978
BT-01,CH-02,2.452551337,22.9,-66.2870140076
BT-01,CH-03,2.329519879,21.0833333333,-47.1886177063
BT-01,CH-05,2.718498125,25.6,-90.9476127625
BT-01,CH-06,2.380472301,22.1666666667,-69.5230674744
BT-01,CH-07,2.391656979,24.0,-87.1493797302
BT-01,CH-08,2.108311803,20.15,-57.9037895203
BT-01,CH-09,1.928114213,18.4333333333,-55.1726341248
BT-01,CH-12,1.706906137,15.5666666667,-34.1696281433
BT-01,CH-15,2.767586434,24.85,-80.7120475769
BT-01,DPD-01,0.932677871,6.51666666667,24.8164253235
BT-01,DPD-03,7.558978215,44.3666666667,15.998500824
BT-01,EL-01,1.419832735,10.1833333333,28.336523056
BT-01,EL-03,2.046174703,15.3666666667,28.7335205078
BT-01,EL-05,3.068329998,20.8333333333,17.1367797852
BT-01,FH-01,1.855413806,17.7666666667,-60.2433662415
BT-01,FH-04,2.436395691,22.1333333333,-48.2504386902
BT-01,ID-04,1.924385987,16.8166666667,20.9495735168
BT-01,PS-05,1.736110574,14.15,25.7286653519
BT-01,PS-04,1.633584359,13.25,29.2150268555
BT-01,SLU-01,1.358317006,10.8666666667,-1.25952148438
BT-01,SLU-02,1.049495619,8.18333333333,18.9227809906
BT-01,SLU-04,0.930813758,6.88333333333,24.9726457596
BT-01,SLU-07,0.583467369,4.93333333333,16.7121295929
BT-01,SLU-15,0.911551257,7.4,5.75820159912
BT-01,SLU-17,1.230935951,9.1,28.879817009
BT-01,SLU-18,0.449251233,4.35,3.43336868286
BT-01,SLU-19,0.566068981,4.71666666667,-0.483348846436
BT-01,UD-01,6.60517373,37.3333333333,22.4416007996
BT-01,UD-02,5.320178502,32.85,-9.65163803101
BT-01,UD-04,4.980288565,30.2166666667,7.50820922852
BT-01,UD-07,5.737739814,36.9,-28.0636024475
BT-01,UW-01,5.975103536,36.8666666667,-19.3223495483
BT-01,UW-02,5.597309968,37.1,-27.2107276917
BT-01,UW-04,5.2195164,32.0333333333,2.80600357056
BT-01,UW-06,5.563755934,33.8333333333,-2.13396453857
BT-01,UW-07,5.734011588,33.55,21.3969306946
BT-01,UW-10,5.272332935,31.25,23.3881168365
BT-01,WF-01,0.479077041,4.13333333333,34.0560381413
BT-01,WF-04,1.1184678,8.33333333333,32.1635546684
BT-01,CBD-05,1.347132328,10.3833333333,27.5389070511
BT-01,CD-01,2.25557673,22.1333333333,-27.6914329529
BT-01,SLU-20,1.152643205,8.93333333333,-2.56632995605
BT-01,CBD-04,1.114118203,10.7166666667,-3.94008255005
BT-01,SLU-21,0.97555247,7.55,25.9963884354
BT-03,BT-01,0.262218562,3.3,-3.53594970703
BT-03,BT-04,0.520708898,5.5,-0.458225250244
BT-03,BT-05,0.276510095,2.53333333333,-10.4674263
BT-03,CBD-13,0.57166132,4.8,-8.64455032349
BT-03,CBD-03,1.021533924,8.88333333333,-14.6777610779
BT-03,CBD-07,1.34837507,12.5333333333,2.28299331665
BT-03,SLU-16,1.16817748,10.6166666667,-14.9369354248
BT-03,CBD-06,0.915279483,6.65,8.51055526733
BT-03,CH-01,1.735489203,16.45,-48.4470787048
BT-03,CH-02,2.189711404,21.0833333333,-69.8229637146
BT-03,CH-03,2.067301317,19.2666666667,-50.7245674133
BT-03,CH-05,2.456279563,23.7833333333,-94.4835624695
BT-03,CH-06,2.118253739,20.3666666667,-73.0590171814
BT-03,CH-07,2.129438417,22.1833333333,-90.6853294373
BT-03,CH-08,1.846093241,18.3333333333,-61.4397392273
BT-03,CH-09,1.66527428,16.6333333333,-58.7085838318
BT-03,CH-12,1.444687575,13.75,-37.7055778503
BT-03,CH-15,2.505367872,23.05,-84.2479972839
BT-03,DPD-01,1.156371431,8.03333333333,21.2804756165
BT-03,DPD-03,7.782671775,45.8833333333,12.4625511169
BT-03,EL-01,1.642904924,11.6833333333,24.800573349
BT-03,EL-03,2.269868263,16.8666666667,25.1975708008
BT-03,EL-05,3.292023558,22.3333333333,13.6008300781
BT-03,FH-01,1.593195244,15.95,-63.7793159485
BT-03,FH-04,2.174177129,20.3166666667,-51.7863883972
BT-03,ID-04,1.661546054,15.0166666667,17.4136238098
BT-03,PS-05,1.473270641,12.3333333333,22.1927156448
BT-03,PS-04,1.370744426,11.4333333333,25.6790771484
BT-03,SLU-01,1.297422648,10.1666666667,-4.79547119141
BT-03,SLU-02,1.030854489,8.68333333333,15.3868312836
BT-03,SLU-04,0.912172628,7.4,21.4366960526
BT-03,SLU-07,0.564204868,5.45,13.1761798859
BT-03,SLU-15,0.738810119,7.23333333333,2.22225189209
BT-03,SLU-17,1.454629511,10.6,25.3438673019
BT-03,SLU-18,0.477834299,4.35,-0.10258102417
BT-03,SLU-19,0.769878669,5.96666666667,-4.01929855347
BT-03,UD-01,6.82886729,38.8333333333,18.9056510925
BT-03,UD-02,5.543872062,34.35,-13.187587738
BT-03,UD-04,5.203360754,31.7166666667,3.97225952148
BT-03,UD-07,5.961433374,38.4166666667,-31.5995521545
BT-03,UW-01,6.198797096,38.3666666667,-22.8582992554
BT-03,UW-02,5.821003528,38.6,-30.7466773987
BT-03,UW-04,5.44320996,33.5333333333,-0.729946136475
BT-03,UW-06,5.787449494,35.3333333333,-5.66991424561
BT-03,UW-07,5.957705148,35.05,17.8609809875
BT-03,UW-10,5.496026495,32.75,19.8521671295
BT-03,WF-01,0.516359301,4.86666666667,30.5200884342
BT-03,WF-04,0.856870609,7.25,28.6276049614
BT-03,CBD-05,1.084913766,8.56666666667,24.0029573441
BT-03,CD-01,1.992736797,20.3166666667,-31.2273826599
BT-03,SLU-20,1.122817397,8.81666666667,-6.10227966309
BT-03,CBD-04,0.851899641,8.9,-7.47603225708
BT-03,SLU-21,1.198624659,9.06666666667,22.4604387283
BT-04,BT-01,0.629448823,6.51666666667,-3.07772445679
BT-04,BT-03,0.635662533,5.73333333333,0.458225250244
BT-04,BT-05,0.679779874,6.65,-10.0092010498
BT-04,CBD-13,0.696556891,6.66666666667,-8.18632507324
BT-04,CBD-03,0.912793999,7.33333333333,-14.2195358276
BT-04,CBD-07,1.473270641,14.4,2.74121856689
BT-04,SLU-16,0.630691565,7.46666666667,-14.4787101746
BT-04,CBD-06,1.040175054,8.51666666667,8.96878051758
BT-04,CH-01,1.198003288,13.3,-47.9888534546
BT-04,CH-02,1.652225489,17.9333333333,-69.3647384644
BT-04,CH-03,1.529194031,16.1166666667,-50.2663421631
BT-04,CH-05,1.918172277,20.6333333333,-94.0253372192
BT-04,CH-06,1.580146453,17.2166666667,-72.6007919312
BT-04,CH-07,1.591331131,19.0333333333,-90.227104187
BT-04,CH-08,1.307985955,15.1833333333,-60.9815139771
BT-04,CH-09,1.127788365,13.4833333333,-58.2503585815
BT-04,CH-12,0.906580289,10.6,-37.2473526001
BT-04,CH-15,1.967260586,19.9,-83.7897720337
BT-04,DPD-01,0.664245599,4.5,21.7387008667
BT-04,DPD-03,7.290545943,42.35,12.9207763672
BT-04,EL-01,1.150779092,8.15,25.2587985992
BT-04,EL-03,1.77712106,13.3333333333,25.655796051
BT-04,EL-05,2.799897726,18.8,14.0590553284
BT-04,FH-01,1.484455319,14.5166666667,-63.3210906982
BT-04,FH-04,1.77712106,18.0,-51.328163147
BT-04,ID-04,1.787062996,16.8666666667,17.8718490601
BT-04,PS-05,1.598787583,14.1833333333,22.6509408951
BT-04,PS-04,1.496261368,13.3,26.1373023987
BT-04,SLU-01,1.100448041,7.08333333333,-4.33724594116
BT-04,SLU-02,0.863084319,5.85,15.8450565338
BT-04,SLU-04,0.661760115,4.91666666667,21.8949213028
BT-04,SLU-07,0.312549613,2.5,13.6344051361
BT-04,SLU-15,0.684750842,4.2,2.68047714233
BT-04,SLU-17,0.962503679,7.06666666667,25.8020925522
BT-04,SLU-18,0.280859692,1.26666666667,0.355644226074
BT-04,SLU-19,1.173148448,10.1,-3.56107330322
BT-04,UD-01,6.336120087,35.3,19.3638763428
BT-04,UD-02,5.05174623,30.8333333333,-12.7293624878
BT-04,UD-04,4.711234922,28.1833333333,4.43048477173
BT-04,UD-07,5.469307542,34.8833333333,-31.1413269043
BT-04,UW-01,5.706671264,34.8333333333,-22.4000740051
BT-04,UW-02,5.328877696,35.0666666667,-30.2884521484
BT-04,UW-04,4.951084128,30.0,-0.27172088623
BT-04,UW-06,5.295323662,31.8,-5.21168899536
BT-04,UW-07,5.465579316,31.5166666667,18.3192062378
BT-04,UW-10,5.003279292,29.2166666667,20.3103923798
BT-04,WF-01,0.91962908,9.0,30.9783136845
BT-04,WF-04,1.260140388,11.4,29.0858302116
BT-04,CBD-05,1.209809337,10.4333333333,24.4611825943
BT-04,CD-01,2.263033182,19.8166666667,-30.7691574097
BT-04,SLU-20,0.925221419,5.71666666667,-5.64405441284
BT-04,CBD-04,0.777956492,7.0,-7.01780700684
BT-04,SLU-21,0.706498827,5.53333333333,22.9186639786
BT-05,BT-01,0.536864544,5.01666666667,6.93147659302
BT-05,BT-03,0.556127045,3.83333333333,10.4674263
BT-05,BT-04,0.566690352,4.93333333333,10.0092010498
BT-05,CBD-13,0.295151225,2.26666666667,1.82287597656
BT-05,CBD-03,0.745023829,6.35,-4.21033477783
BT-05,CBD-07,1.071864975,10.0,12.7504196167
BT-05,SLU-16,0.891667385,8.08333333333,-4.46950912476
BT-05,CBD-06,0.638769388,4.11666666667,18.9779815674
BT-05,CH-01,1.458979108,13.9166666667,-37.9796524048
BT-05,CH-02,1.913201309,18.55,-59.3555374146
