origin,destination,distance,duration,elevation_change
BT-03,BT-01,0.262218562,3.3,-125.003650904
BT-04,BT-01,0.629448823,6.51666666667,-123.111167431
BT-04,BT-03,0.635662533,5.73333333333,-121.205417871
BT-05,BT-01,0.536864544,5.01666666667,-120.162639618
BT-05,BT-03,0.556127045,3.83333333333,-119.827429771
BT-05,BT-04,0.566690352,4.93333333333,-119.68113327
CBD-13,BT-01,1.129652478,9.16666666667,-119.312934399
CBD-13,BT-03,0.699663746,5.1,-119.284135818
CBD-13,BT-04,0.779820605,6.33333333333,-116.944001198
CBD-13,BT-05,0.373443971,3.21666666667,-116.676278114
CBD-13,CBD-03,0.449872604,4.08333333333,-116.364406586
CBD-13,CBD-07,0.77671375,7.73333333333,-116.029196739
CBD-13,CBD-06,0.343618163,1.86666666667,-115.920258522
CBD-13,CBD-05,0.513252446,3.78333333333,-115.882900238
CBD-13,CBD-04,0.280859692,4.11666666667,-115.764038086
CBD-03,BT-01,1.194275062,9.95,-115.485902786
CBD-03,BT-03,1.199867401,9.3,-114.768085718
CBD-03,BT-04,0.600865757,4.56666666667,-114.335729599
CBD-03,BT-05,0.780441976,8.81666666667,-113.389213562
CBD-07,BT-01,1.48507669,13.3,-113.145768166
CBD-07,BT-03,1.490047658,12.65,-112.878045082
CBD-07,BT-04,1.134623446,10.4333333333,-112.875602245
CBD-07,BT-05,1.070622233,12.1666666667,-112.344543457
CBD-07,CBD-03,0.649954066,7.81666666667,-112.12202549
CBD-07,CBD-06,0.396434698,4.8,-111.965805054
CBD-07,CBD-05,0.344860905,4.08333333333,-111.897186279
CBD-07,CBD-04,0.474106073,5.53333333333,-110.537496567
SLU-16,BT-01,1.177498045,8.91666666667,-109.927074432
SLU-16,BT-03,1.183090384,8.26666666667,-109.870393753
SLU-16,BT-04,0.58408874,3.55,-109.591864586
SLU-16,BT-05,0.763664959,7.8,-109.59098053
SLU-16,CBD-13,0.452358088,3.58333333333,-109.445568085
SLU-16,CBD-03,0.292665741,2.43333333333,-109.048570633
SLU-16,CBD-07,1.229693209,11.3166666667,-108.546310425
SLU-16,CBD-06,0.796597622,5.45,-108.098953247
SLU-16,CH-01,0.567311723,5.83333333333,-108.084392548
SLU-16,CH-02,1.021533924,10.4666666667,-107.659742355
SLU-16,CH-03,0.898502466,8.66666666667,-106.946113586
SLU-16,CH-05,1.287480712,13.1666666667,-106.708436012
SLU-16,CH-06,0.950076259,9.75,-106.440712929
SLU-16,CH-07,0.960639566,11.5666666667,-106.072160721
SLU-16,CH-08,0.677915761,7.71666666667,-105.684693336
SLU-16,CH-09,0.4970968,6.01666666667,-105.5284729
SLU-16,CH-12,0.276510095,3.15,-104.286159515
SLU-16,CH-15,1.337190392,12.4333333333,-104.100164413
SLU-16,DPD-01,1.01283473,6.66666666667,-103.861509323
SLU-16,DPD-03,7.639135074,44.5166666667,-103.579105616
SLU-16,EL-01,1.233421435,8.35,-103.153648376
SLU-16,EL-03,1.797004932,11.8166666667,-103.147880554
SLU-16,EL-05,2.785606193,17.0166666667,-102.108978271
SLU-16,FH-01,0.743781087,8.66666666667,-101.686622143
SLU-16,FH-04,1.146429495,10.5333333333,-101.661621094
SLU-16,ID-04,1.542864193,13.8,-100.343052149
SLU-16,PS-05,1.35458878,11.1166666667,-99.6348285675
SLU-16,PS-04,1.252062565,10.2166666667,-98.7380943298
SLU-16,SLU-01,0.832015769,6.45,-98.455821991
SLU-16,SLU-02,1.449037172,9.46666666667,-98.450568676
SLU-16,SLU-04,1.010970617,7.08333333333,-98.4028844833
SLU-16,SLU-07,0.661138744,4.68333333333,-98.2565879822
